2004	1	0
2004	2	0
2004	3	0
2004	4	0
2004	5	0
2004	6	0
2004	7	0
2004	8	0
2004	9	0
2004	10	0
2004	11	0
2004	12	0
2005	1	0
2005	2	0
2005	3	0
2005	4	0
2005	5	0
2005	6	0
2005	7	0
2005	8	0
2005	9	0
2005	10	0
2005	11	0
2005	12	0
2006	1	0
2006	2	0
2006	3	0
2006	4	0
2006	5	0
2006	6	0
2006	7	0
2006	8	0
2006	9	0
2006	10	0
2006	11	0
2006	12	0
2007	1	0
2007	2	0
2007	3	0
2007	4	0
2007	5	0
2007	6	0
2007	7	0
2007	8	0
2007	9	0
2007	10	0
2007	11	0
2007	12	0
2008	1	0
2008	2	0
2008	3	0
2008	4	0
2008	5	3
2008	6	3
2008	7	3
2008	8	3
2008	9	3
2008	10	3
2008	11	4
2008	12	4
2009	1	4
2009	2	4
2009	3	4
2009	4	2
2009	5	2
2009	6	5
2009	7	4
2009	8	3
2009	9	4
2009	10	3
2009	11	4
2009	12	5
2010	1	4
2010	2	4
2010	3	3
2010	4	4
2010	5	4
2010	6	5
2010	7	4
2010	8	5
2010	9	8
2010	10	10
2010	11	8
2010	12	10
2011	1	7
2011	2	11
2011	3	10
2011	4	9
2011	5	14
2011	6	14
2011	7	14
2011	8	15
2011	9	25
2011	10	22
2011	11	25
2011	12	15
2012	1	20
2012	2	25
2012	3	29
2012	4	33
2012	5	47
2012	6	37
2012	7	31
2012	8	34
2012	9	37
2012	10	43
2012	11	43
2012	12	28
2013	1	39
2013	2	45
2013	3	44
2013	4	57
2013	5	52
2013	6	44
2013	7	42
2013	8	40
2013	9	65
2013	10	68
2013	11	87
2013	12	48
2014	1	58
2014	2	77
2014	3	73
2014	4	78
2014	5	70
2014	6	59
2014	7	63
2014	8	69
2014	9	95
2014	10	100
2014	11	87
2014	12	63
2015	1	73
2015	2	97
