project_id,event_id,full_name,contact,pre_assess,add_products,synopsis
34,1,Phylogeny inference on non-molecular characters,"RV, TK",1,,
27,2,Trait Evolution,LH,1,1,1
37,3,Taxonomic Intelligence Subgroup,WP'',1,1,1
18,4,Integrating Ontologies,"RV, JT, JW",1,1,1
48,5,Galaxy + HyPhy,SKP,1,,
17,6,Tree Store,HL,1,1,1
4,7,Phylogeotastic,BS,1,1,1
8,8,Library wrappers for OT APIs,FM,1,1,1
52,9,Integrating simulation with popgen analysis,AS,1,1,1
